 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm),label
18.51466,0.37,5.09,8.21,0,-0.03,0.02,0.52,0.71,39.22,1436.5,good
18.51466,-0.27,4.43,8.43,0.01,-0.03,-0.03,0.45,0.76,37.65,1468.5,good
17.9946,0.74,5.15,8.47,0,-0.02,0.12,0.56,0.7,38.82,1467,good
17.9946,0.96,5.55,7.44,0,-0.05,0.05,0.52,0.69,38.04,1447,good
17.9946,1.07,5.2,8.45,0.04,-0.02,0.07,0.49,0.75,37.65,1447,good
17.9946,0.56,5.11,7.73,0,-0.06,0.14,0.6,0.61,38.04,1459.5,good
17.9946,-0.75,4.03,8.96,0,-0.06,0.02,0.5,0.69,38.43,1456,good
17.9946,0.48,5.45,7.38,-0.04,-0.03,-0.03,0.45,0.76,38.82,1456,good
17.9946,0.99,5.26,8.57,-0.01,-0.07,0.09,0.57,0.63,38.43,1417,good
17.9946,0.3,5.24,7.59,-0.01,-0.05,0.07,0.51,0.7,38.04,1417,good
17.9946,0.64,4.84,8.41,-0.01,-0.05,0.07,0.51,0.7,38.04,1461,good
8.137784,3.09,1.97,11.23,0.08,0.16,0.17,0.19,1.04,38.43,1461,good
8.137784,0.78,2.15,8.85,0.06,0.16,0.17,0.19,1.04,38.43,1461,good
8.137784,0.78,2.15,8.85,0.06,0,0.22,0.17,0.86,38.43,1461,good
8.137784,2.32,3.02,11.49,0.25,0,0.22,0.17,0.86,38.43,1461,good
8.137784,0.33,1.83,8.25,-0.12,0,0.22,0.17,0.86,38.43,1461,good
8.137784,0.33,1.83,8.25,-0.12,0,0.22,0.17,0.86,38.43,1461,good
8.137784,-1.11,1.89,8.05,-0.13,-0.15,-0.11,0.19,0.72,38.43,1461,good
8.137784,-2.07,2.02,8.69,0.01,-0.15,-0.11,0.19,0.72,38.43,1461,good
8.137784,-2.07,2.02,8.69,0.01,-0.15,-0.11,0.19,0.72,38.43,1461,good
8.137784,-2.07,2.02,8.69,0.01,-0.15,-0.11,0.19,0.72,38.43,1461,good
8.137784,-2.07,2.02,8.69,0.01,-0.15,-0.11,0.19,0.72,38.43,1461,good
6.732143,-2.68,2.06,9.42,0.02,-0.15,-0.11,0.19,0.72,38.43,1461,good
6.732143,-2.68,2.06,9.42,0.02,-0.15,-0.11,0.19,0.72,38.43,1461,good
6.732143,-2.1,2.51,10.46,0.04,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-1.17,3.18,7.68,0.02,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-1.17,3.18,7.68,0.02,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-0.7,2.73,8.03,0.01,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-0.07,4.98,7.51,0.01,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-0.07,4.98,7.51,0.01,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-0.07,4.98,7.51,0.01,0.09,-0.24,0.2,0.94,38.43,1461,good
6.732143,-0.39,2.42,9.25,-0.01,0,0.04,0.52,0.76,38.43,1461,good
6.732143,-0.39,2.42,9.25,-0.01,0,0.04,0.52,0.76,38.43,1461,good
6.732143,0.11,0.96,10.19,0.03,0,0.04,0.52,0.76,38.43,1461,good
6.732143,0.98,2.24,9.35,0.02,-0.01,0.1,0.23,0.85,38.43,1461,good
6.732143,-0.42,2.25,7.43,0,-0.01,0.1,0.23,0.85,38.43,1461,good
6.732143,-0.42,2.25,7.43,0,-0.01,0.1,0.23,0.85,38.43,1461,good
6.732143,0.87,0.98,5.87,-0.08,-0.01,0.1,0.23,0.85,38.43,1461,good
6.732143,0.87,0.98,5.87,-0.08,-0.01,0.1,0.23,0.85,38.43,1461,good
6.732143,0.08,0.4,7.16,-0.1,-0.28,0.07,0.04,0.61,38.43,1461,good
6.732143,-3.05,1.44,7.36,-0.12,-0.28,0.07,0.04,0.61,38.43,1461,good
6.732143,-2.92,-1.22,10.88,0.17,0.08,-0.17,-0.04,0.96,37.65,1458,good
6.732143,-3.5,-1.84,12.07,0.33,0.08,-0.17,-0.04,0.96,38.04,1462.5,good
6.732143,-5.35,-1.31,10.54,0.25,0.14,-0.41,-0.18,0.95,38.43,1462.5,good
6.732143,-5.56,-1.53,6.66,-0.08,0.11,-0.63,-0.2,0.79,38.43,1427.5,good
5.6842294,-3.6,-1.52,8.62,0.09,0.11,-0.63,-0.2,0.79,37.65,1449.5,good
5.6842294,1.13,-1.87,5.26,0.02,-0.05,0.05,-0.07,0.84,37.65,1449.5,good
5.6842294,1.93,-1.78,8.68,0.13,-0.05,0.05,-0.07,0.84,38.04,1481,good
5.6842294,2.22,-1.26,9.74,-0.06,0.11,0.29,-0.08,0.97,37.25,1481,good
5.6842294,2.34,-1.35,9.82,-0.02,0.02,0.23,-0.13,0.89,36.47,1490.5,good
5.6842294,2.24,-1.27,9.87,0.06,0.01,0.23,-0.11,0.88,36.08,1503.5,good
5.6842294,2.37,-1.18,9.8,0.05,0.01,0.23,-0.11,0.88,37.65,1503.5,good
5.365012,2.18,-1.32,9.72,0.05,0.01,0.25,-0.13,0.87,36.47,1482,good
5.365012,2.37,-1.52,9.74,0.05,0.02,0.23,-0.13,0.88,36.08,1489,good
5.365012,2.31,-1.24,9.46,0.05,0.01,0.24,-0.12,0.87,36.08,1489,good
5.365012,2.24,-1.49,9.73,0.05,0.03,0.23,-0.09,0.9,36.08,1499,good
5.365012,2.16,-1.34,9.63,0.03,0.03,0.24,-0.15,0.89,36.86,1449,good
5.365012,2.31,-1.25,9.85,0.04,0.02,0.23,-0.12,0.89,36.47,1449,good
5.365012,2.24,-1.27,9.78,0.05,0.03,0.23,-0.13,0.89,35.69,1429.5,good
5.365012,2.3,-1.41,9.69,0.04,0.04,0.23,-0.15,0.9,36.86,1440.5,good
5.365012,2.05,-1.14,9.64,0.04,0.04,0.23,-0.15,0.9,38.04,1440.5,good
5.3578734,2.31,-1.09,9.71,0.04,0.02,0.24,-0.14,0.88,37.25,1418,good
5.3578734,2.33,-1.34,9.66,0.04,0.02,0.24,-0.14,0.88,36.86,1418,good
5.3578734,2.33,-1.27,9.74,0.04,0.02,0.24,-0.14,0.88,36.47,1418.5,good
5.3578734,2.37,-1.35,9.78,0.04,0.01,0.22,-0.14,0.87,37.65,1418.5,good
5.3578734,2.21,-1.35,9.72,0.04,0.03,0.23,-0.13,0.9,38.82,1418.5,good
5.3578734,2.18,-1.37,9.69,0.04,0.02,0.25,-0.13,0.88,38.82,1418.5,good
5.3578734,2.31,-1.21,9.7,0.04,0.02,0.25,-0.13,0.88,37.65,1416.5,good
5.3578734,2.27,-1.39,9.74,0.04,0.02,0.23,-0.12,0.89,37.25,1450,good
5.3578734,2.18,-1.47,9.67,0.05,0.02,0.24,-0.12,0.89,38.43,1450,good
5.054673,2.17,-1.38,9.66,0.04,0.02,0.22,-0.14,0.88,38.82,1403,good
5.054673,2.37,-1.37,9.76,0.04,0.02,0.23,-0.13,0.89,38.82,1403,good
5.054673,2.27,-1.44,9.72,0.05,0.02,0.23,-0.13,0.89,38.04,1417.5,good
5.054673,2.38,-1.33,9.71,0.04,0.02,0.24,-0.13,0.88,38.04,1417.5,good
5.054673,2.32,-1.32,9.62,0.04,0.01,0.23,-0.14,0.88,38.82,1440.5,good
5.054673,2.26,-1.32,9.79,0.04,0.02,0.23,-0.13,0.88,38.82,1440.5,good
5.054673,2.23,-1.3,9.83,0.05,0.03,0.24,-0.14,0.89,37.65,1434,good
5.054673,2.43,-1.31,9.53,0.05,0.03,0.23,-0.13,0.9,37.25,1434,good
5.054673,2.22,-1.28,9.77,0.05,0.03,0.23,-0.13,0.9,37.25,1473.5,good
4.6008058,2.34,-1.38,9.62,0.04,0.02,0.22,-0.15,0.89,37.25,1473.5,good
4.6008058,2.26,-1.24,9.77,0.04,0.02,0.23,-0.14,0.89,38.04,1462,good
4.6008058,2.34,-1.21,9.79,0.05,0.02,0.23,-0.13,0.89,38.43,1462,good
4.6008058,2.32,-1.26,9.81,0.05,0.03,0.23,-0.13,0.89,37.65,1452.5,good
4.6008058,2.31,-1.38,9.58,0.03,0.03,0.24,-0.13,0.89,36.86,1450,good
4.6008058,2.33,-1.32,9.66,0.04,0.03,0.24,-0.13,0.89,37.25,1450,good
4.6008058,2.25,-1.36,9.5,0.04,0.02,0.23,-0.14,0.89,37.25,1492,good
4.6008058,2.11,-1.47,9.75,0.04,0.03,0.24,-0.13,0.89,37.65,1492,good
4.6008058,2.31,-1.4,9.59,0.03,0.02,0.24,-0.14,0.88,36.86,1466,good
4.224753,2.19,-1.37,9.66,0.04,0.02,0.24,-0.13,0.88,35.69,1466,good
4.224753,2.3,-1.15,9.68,0.04,0.03,0.22,-0.13,0.9,36.08,1478.5,good
4.224753,2.18,-1.27,9.73,0.04,0.03,0.22,-0.13,0.9,36.86,1478.5,good
4.224753,2.41,-1.26,9.77,0.05,0.02,0.24,-0.14,0.88,37.65,1475,good
4.224753,2.33,-1.27,9.66,0.05,0.01,0.24,-0.14,0.88,36.86,1475,good
4.224753,2.35,-1.36,9.61,0.05,0.01,0.24,-0.14,0.88,36.47,1439.5,good
4.224753,2.38,-1.28,9.72,0.05,0.03,0.24,-0.12,0.89,36.08,1439.5,good
4.224753,2.3,-1.28,9.65,0.04,0.03,0.23,-0.14,0.89,37.25,1439.5,good
4.224753,2.2,-1.31,9.72,0.04,0.04,0.24,-0.13,0.9,38.04,1472,good
4.224753,2.34,-1.37,9.75,0.05,0.04,0.24,-0.13,0.9,36.47,1472,good
4.224753,2.52,-1.29,9.51,0.03,0.04,0.23,-0.13,0.91,36.47,1437.5,good
4.1061893,2.36,-1.21,9.65,0.04,0.03,0.23,-0.13,0.9,37.25,1456.5,good
4.1061893,2.35,-1.31,9.67,0.04,0.03,0.23,-0.12,0.9,38.04,1456.5,good
4.1061893,2.2,-1.18,9.87,0.04,0.03,0.23,-0.12,0.9,38.04,1408,good
4.1061893,2.33,-1.28,9.71,0.04,0.03,0.23,-0.14,0.89,38.04,1408,good
4.1061893,2.19,-1.43,9.57,0.04,0.01,0.24,-0.14,0.87,37.65,1451,good
4.1061893,2.22,-1.31,9.83,0.04,0.03,0.23,-0.11,0.9,37.65,1451,good
