 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm)
10.526792,1.7,4.39,8.25,-0.02,0.02,0.1,0.51,0.78,15.69,707
10.526792,1.18,4.75,8.25,-0.01,-0.02,0.16,0.48,0.74,15.69,667.75
10.526792,0.83,4.95,8.41,0.01,0,0.08,0.5,0.76,15.69,700.75
10.526792,1.63,4.05,8.94,0.02,0.01,0.17,0.41,0.81,15.69,709
10.526792,1.27,4.25,8.32,-0.03,0.01,0.17,0.41,0.81,15.69,702.75
10.526792,1.41,4.41,8.5,0,-0.04,0.13,0.43,0.75,15.69,701
10.526792,1.46,4.37,8.7,0.01,-0.02,0.12,0.48,0.75,15.69,713
10.526792,1.27,4.27,8.42,-0.02,-0.03,0.13,0.44,0.76,15.69,704.5
6.628804,-1.77,4.77,7.62,-0.06,-0.07,-0.18,0.49,0.68,15.69,692.5
6.628804,-4.78,6.17,5.96,0.01,-0.07,-0.18,0.49,0.68,27.45,692.5
6.628804,-2.54,3.36,6.83,-0.17,-0.18,-0.26,0.34,0.6,27.45,692.5
6.628804,-0.63,0.79,6.88,-0.28,-0.29,-0.06,0.08,0.6,27.45,649.25
6.628804,1.85,-1.5,11.51,0.21,-0.29,-0.06,0.08,0.6,28.24,693.25
6.628804,2.15,0.81,13.19,0.37,1.05,-0.35,0.52,1.85,28.24,715.25
6.628804,4.16,0.99,6.65,-0.18,-0.19,0.42,0.1,0.58,28.24,690.25
6.628804,2.18,2.29,10.4,0.12,0.11,0.22,0.23,0.96,27.84,690.25
6.628804,0.52,2.29,9.32,-0.01,0.11,0.22,0.23,0.96,28.24,715
6.628804,1.05,3.4,9.75,0.07,0,0.05,0.32,0.85,28.24,692.25
5.18119,0.43,2.34,9.66,0.02,0.01,0.04,0.24,0.88,28.24,696.25
